"lat","lon","elevation_m","ruggedness_std_m","ruggedness_range_m"
"47.5","-0.5","35","7.8","21"
"47.25","0.25","43","21.6","58"
"47.25","0.75","82","12.2","34"
"47.75","0.25","62","27.7","80"
"47.75","0.75","74","32.3","77"
"47.25","1.25","151","11.3","31"
"47.25","1.75","132","15.9","40"
"47.75","1.25","123","1","2"
"47.75","1.75","108","7.7","21"
"47.25","2.25","143","27.8","74"
"47.25","2.75","228","34.2","85"
"47.75","2.25","152","16.3","44"
"47.75","2.75","154","7.8","21"
"47.5","3.5","199","24.4","72"
"47.5","4.5","396","50.2","147"
"47.5","5.5","235","8.3","26"
"47.25","6.25","450","97.6","274"
"47.25","6.75","772","127.1","385"
"47.75","6.25","326","52.4","156"
"47.75","6.75","741","125.8","331"
"47.25","7.25","1011","160.9","440"
"47.25","7.75","455","32.3","93"
"47.75","7.25","256","17.6","50"
"47.75","7.75","845","86.5","224"
"47.25","8.25","534","123.7","363"
"47.25","8.75","532","40.7","103"
"47.75","8.25","938","107.7","305"
"47.75","8.75","477","55.9","163"
"47.25","9.25","1192","100.9","269"
"47.25","9.75","1185","364","1132"
"47.75","9.25","441","27.2","77"
"47.75","9.75","666","64.5","177"
"47.25","10.25","1308","339.5","931"
"47.25","10.75","790","502.6","1439"
"47.75","10.25","786","101.7","245"
"47.75","10.75","884","50.8","115"
"47.25","11.25","721","414.2","1157"
"47.25","11.75","2153","459.4","1136"
"47.75","11.25","675","28","79"
"47.75","11.75","758","29.2","88"
"47.25","12.25","946","414.4","1188"
"47.25","12.75","1251","537.1","1455"
"47.75","12.25","1336","299.4","725"
"47.75","12.75","705","277","784"
"47.25","13.25","1915","363.9","995"
"47.25","13.75","1794","183.5","430"
"47.75","13.25","687","257.3","641"
"47.75","13.75","948","303.2","909"
"47.25","14.25","1609","357.6","1087"
"47.25","14.75","942","211.2","565"
"47.75","14.25","549","200.9","588"
"47.75","14.75","1390","218.2","659"
"47.5","15.5","1047","239.4","664"
"47.25","16.25","292","32.6","87"
"47.25","16.75","192","6.2","17"
"47.75","16.25","294","121.2","318"
"47.75","16.75","115","1.8","4"
"47.5","17.5","128","6.9","20"
"47.5","18.5","218","97.8","271"
"48.5","-0.5","120","27.8","69"
"48.25","0.25","75","25.5","74"
"48.25","0.75","198","43.5","102"
"48.75","0.25","230","8.6","26"
"48.75","0.75","211","7.1","19"
"48.25","1.25","159","9.6","27"
"48.25","1.75","138","2.6","7"
"48.75","1.25","138","10.8","32"
"48.75","1.75","192","13.5","35"
"48.25","2.25","130","2.3","7"
"48.25","2.75","143","35","79"
"48.75","2.25","175","49.2","124"
"48.75","2.75","110","16.1","50"
"48.25","3.25","62","41","120"
"48.25","3.75","136","32.1","93"
"48.75","3.25","159","18.7","50"
"48.75","3.75","208","42.9","110"
"48.25","4.25","142","14.1","40"
"48.25","4.75","189","27.7","85"
"48.75","4.25","184","19.1","53"
"48.75","4.75","111","8","18"
"48.25","5.25","351","56","134"
"48.25","5.75","375","55.5","156"
"48.75","5.25","306","48.8","138"
"48.75","5.75","381","53.3","144"
"48.25","6.25","343","39.5","110"
"48.25","6.75","484","21.9","68"
"48.75","6.25","235","24.1","68"
"48.75","6.75","217","20.3","56"
"48.5","7.5","178","29.7","83"
"48.25","8.25","621","170.8","417"
"48.25","8.75","665","54.3","124"
"48.75","8.25","183","117.8","311"
"48.75","8.75","562","78.6","231"
"48.25","9.25","775","25.1","67"
"48.25","9.75","505","22.5","52"
"48.75","9.25","313","64.9","180"
"48.75","9.75","532","48.7","109"
"48.5","10.5","495","32.1","86"
"48.25","11.25","533","11.4","34"
"48.25","11.75","481","10.8","34"
"48.75","11.25","376","14","38"
"48.75","11.75","412","41.7","106"
"48.25","12.25","476","48.4","141"
"48.25","12.75","374","34.2","85"
"48.75","12.25","444","35.7","98"
"48.75","12.75","335","4.5","13"
"48.25","13.25","381","45","123"
"48.25","13.75","395","31.2","88"
"48.75","13.25","407","71.3","177"
"48.75","13.75","679","70.8","211"
"48.25","14.25","275","26.1","75"
"48.25","14.75","416","85.6","257"
"48.75","14.25","678","111.4","322"
"48.75","14.75","592","127.1","378"
"48.5","15.5","617","30.1","83"
"48.5","16.5","247","30.3","72"
"48.5","17.5","221","51.6","146"
"49.5","-0.5","0","0","0"
"49.25","0.25","126","43.2","124"
"49.25","0.75","142","10.4","31"
"49.75","0.25","0","38","95"
"49.75","0.75","102","24.8","66"
"49.5","1.5","190","31.9","97"
"49.25","2.25","160","30.9","78"
"49.25","2.75","108","17.1","50"
"49.75","2.25","152","27.7","74"
"49.75","2.75","93","3.3","10"
"49.25","3.25","140","22.6","65"
"49.25","3.75","79","42","132"
"49.75","3.25","82","9.2","26"
"49.75","3.75","94","23.8","70"
"49.5","4.5","78","14","37"
"49.5","5.5","321","53.1","152"
"49.25","6.25","190","30.3","93"
"49.25","6.75","192","29.9","78"
"49.75","6.25","354","31.4","89"
"49.75","6.75","274","84.7","262"
"49.5","7.5","390","69.2","181"
"49.25","8.25","123","8.6","23"
"49.25","8.75","183","26.6","72"
"49.75","8.25","166","43.7","132"
"49.75","8.75","266","54.5","135"
"49.25","9.25","191","26.2","76"
"49.25","9.75","416","24","75"
